pos,name,total,thru,today,r1,r2,r3,r4,strokes,player,inverted,draft_pick
1,Francesco Molinari,-13,F,-6,70,67,66,0,203,Dad,FALSE,12
T2,Tony Finau,-11,F,-8,71,70,64,0,205,Tom,FALSE,17
T2,Tiger Woods,-11,F,-5,70,68,67,0,205,Tom,FALSE,5
4,Brooks Koepka,-10,F,-3,66,71,69,0,206,Tom,FALSE,8
T5,Webb Simpson,-9,F,-8,72,71,64,0,207,NA,NA,NA
T5,Ian Poulter,-9,F,-4,68,71,68,0,207,NA,NA,NA
T7,Matt Kuchar,-8,F,-4,71,69,68,0,208,NA,NA,NA
T7,Justin Harding,-8,F,-2,69,69,70,0,208,NA,NA,NA
T7,Xander Schauffele,-8,F,-2,73,65,70,0,208,NA,NA,NA
T7,Louis Oosthuizen,-8,F,-1,71,66,71,0,208,NA,NA,NA
T7,Dustin Johnson,-8,F,-2,68,70,70,0,208,Will,FALSE,3
T12,Rickie Fowler,-7,F,-4,70,71,68,0,209,Dad,FALSE,1
T12,Adam Scott,-7,F,E,69,68,72,0,209,Dad,FALSE,7
T14,Jason Day,-6,F,+1,70,67,73,0,210,NA,NA,NA
T14,Jon Rahm,-6,F,-1,69,70,71,0,210,Dad,FALSE,6
T14,Justin Thomas,-6,F,-3,73,68,69,0,210,Will,FALSE,10
T14,Patrick Cantlay,-6,F,-8,73,73,64,0,210,NA,NA,NA
T14,Phil Mickelson,-6,F,-2,67,73,70,0,210,NA,NA,NA
T14,Thorbjorn Olesen,-6,F,-4,71,71,68,0,210,NA,NA,NA
T20,Bubba Watson,-5,F,-5,72,72,67,0,211,NA,NA,NA
T20,Lucas Bjerregaard,-5,F,-3,70,72,69,0,211,NA,NA,NA
T22,Jordan Spieth,-4,F,-3,75,68,69,0,212,Will,FALSE,9
T22,Tommy Fleetwood,-4,F,-2,71,71,70,0,212,Dad,FALSE,18
T22,Corey Conners,-4,F,-1,70,71,71,0,212,NA,NA,NA
T25,Hideki Matsuyama,-3,F,-4,75,70,68,0,213,NA,NA,NA
T25,Cameron Smith,-3,F,-3,70,74,69,0,213,NA,NA,NA
T25,Matthew Fitzpatrick,-3,F,-4,78,67,68,0,213,NA,NA,NA
T25,Kevin Tway,-3,F,-2,72,71,70,0,213,NA,NA,NA
T25,Patton Kizzire,-3,F,+1,70,70,73,0,213,NA,NA,NA
T25,Henrik Stenson,-3,F,-5,74,72,67,0,213,Tom,FALSE,11
T31,Charley Hoffman,-2,F,E,71,71,72,0,214,NA,NA,NA
T31,Bryson DeChambeau,-2,F,+1,66,75,73,0,214,Will,FALSE,16
T31,Kevin Kisner,-2,F,E,69,73,72,0,214,NA,NA,NA
T31,Si Woo Kim,-2,F,-2,72,72,70,0,214,NA,NA,NA
T31,Viktor Hovland,-2,F,-1,72,71,71,0,214,NA,NA,NA
T31,Marc Leishman,-2,F,-2,72,72,70,0,214,NA,NA,NA
T31,Aaron Wise,-2,F,-4,75,71,68,0,214,NA,NA,NA
T31,Kyle Stanley,-2,F,-2,72,72,70,0,214,NA,NA,NA
T39,Takumi Kanaya,-1,F,-4,73,74,68,0,215,NA,NA,NA
T39,Rory McIlroy,-1,F,-1,73,71,71,0,215,Tom,FALSE,2
T39,Keegan Bradley,-1,F,-1,76,68,71,0,215,NA,NA,NA
T39,Gary Woodland,-1,F,+2,70,71,74,0,215,NA,NA,NA
T43,Kiradech Aphibarnrat,E,F,+3,69,72,75,0,216,Will,TRUE,15
T43,J.B. Holmes,E,F,+2,70,72,74,0,216,NA,NA,NA
T43,Charles Howell III,E,F,+4,73,67,76,0,216,NA,NA,NA
T43,Jimmy Walker,E,F,E,72,72,72,0,216,NA,NA,NA
T47,Kevin Na,+1,F,+1,71,73,73,0,217,Dad,TRUE,13
T47,Alvaro Ortiz,+1,F,+1,73,71,73,0,217,NA,NA,NA
T47,Patrick Reed,+1,F,+2,73,70,74,0,217,NA,NA,NA
T50,Satoshi Kodaira,+2,F,+1,75,70,73,0,218,NA,NA,NA
T50,Rafa Cabrera-Bello,+2,F,+3,73,70,75,0,218,NA,NA,NA
T50,Bernhard Langer,+2,F,+3,71,72,75,0,218,NA,NA,NA
T50,Devon Bling,+2,F,-1,74,73,71,0,218,NA,NA,NA
T50,Andrew Landry,+2,F,+1,72,73,73,0,218,NA,NA,NA
T50,Tyrrell Hatton,+2,F,E,73,73,72,0,218,NA,NA,NA
T50,Keith Mitchell,+2,F,E,72,74,72,0,218,NA,NA,NA
T57,Eddie Pepperell,+3,F,E,74,73,72,0,219,NA,NA,NA
T57,Branden Grace,+3,F,E,72,75,72,0,219,NA,NA,NA
T57,Martin Kaymer,+3,F,E,73,74,72,0,219,NA,NA,NA
T57,Haotong Li,+3,F,+1,72,74,73,0,219,NA,NA,NA
T61,Emiliano Grillo,+4,F,+1,72,75,73,0,220,NA,NA,NA
T61,Zach Johnson,+4,F,+1,74,73,73,0,220,NA,NA,NA
T63,Billy Horschel,+5,F,+2,72,75,74,0,221,NA,NA,NA
T63,Trevor Immelman,+5,F,+3,74,72,75,0,221,NA,NA,NA
65,Alex Noren,+6,F,+3,75,72,75,0,222,NA,NA,NA
CUT,Sandy Lyle,+4,F,0,73,75,0,0,148,NA,NA,NA
CUT,Stewart Cink,+4,F,0,76,72,0,0,148,NA,NA,NA
CUT,Justin Rose,+4,F,0,75,73,0,0,148,Will,FALSE,4
CUT,Mike Weir,+4,F,0,72,76,0,0,148,NA,NA,NA
CUT,Kevin O'Connell,+4,F,0,77,71,0,0,148,NA,NA,NA
CUT,Danny Willett,+4,F,0,75,73,0,0,148,NA,NA,NA
CUT,Sergio Garcia,+4,F,0,73,75,0,0,148,Tom,TRUE,14
CUT,Adam Long,+5,F,0,75,74,0,0,149,NA,NA,NA
CUT,Brandt Snedeker,+5,F,0,75,74,0,0,149,NA,NA,NA
CUT,Fred Couples,+5,F,0,78,71,0,0,149,NA,NA,NA
CUT,Charl Schwartzel,+5,F,0,77,72,0,0,149,NA,NA,NA
CUT,Shugo Imahira,+6,F,0,76,74,0,0,150,NA,NA,NA
CUT,Larry Mize,+7,F,0,77,74,0,0,151,NA,NA,NA
CUT,Shane Lowry,+7,F,0,78,73,0,0,151,NA,NA,NA
CUT,Matt Wallace,+8,F,0,75,77,0,0,152,NA,NA,NA
CUT,Jovan Rebula,+8,F,0,73,79,0,0,152,NA,NA,NA
CUT,Michael Kim,+10,F,0,76,78,0,0,154,NA,NA,NA
CUT,Paul Casey,+10,F,0,81,73,0,0,154,NA,NA,NA
CUT,Vijay Singh,+12,F,0,80,76,0,0,156,NA,NA,NA
CUT,Ian Woosnam,+12,F,0,80,76,0,0,156,NA,NA,NA
CUT,Jose Maria Olazabal,+13,F,0,78,79,0,0,157,NA,NA,NA
CUT,Angel Cabrera,+13,F,0,82,75,0,0,157,NA,NA,NA
