pos,name,total,thru,today,r1,r2,r3,r4,strokes,player,inverted,pick
T1,Bryson DeChambeau,-6,F,-6,66,0,0,0,66,Will,FALSE,16
T1,Brooks Koepka,-6,F,-6,66,0,0,0,66,Tom,FALSE,8
3,Phil Mickelson,-5,F,-5,67,0,0,0,67,NA,NA,NA
T4,Ian Poulter,-4,F,-4,68,0,0,0,68,NA,NA,NA
T4,Dustin Johnson,-4,F,-4,68,0,0,0,68,Will,FALSE,3
T6,Justin Harding,-3,F,-3,69,0,0,0,69,NA,NA,NA
T6,Adam Scott,-3,F,-3,69,0,0,0,69,Dad,FALSE,7
T6,Jon Rahm,-3,F,-3,69,0,0,0,69,Dad,FALSE,6
T6,Kevin Kisner,-3,F,-3,69,0,0,0,69,NA,NA,NA
T6,Kiradech Aphibarnrat,-3,F,-3,69,0,0,0,69,Will,TRUE,15
T11,Corey Conners,-2,F,-2,70,0,0,0,70,NA,NA,NA
T11,J.B. Holmes,-2,F,-2,70,0,0,0,70,NA,NA,NA
T11,Lucas Bjerregaard,-2,F,-2,70,0,0,0,70,NA,NA,NA
T11,Gary Woodland,-2,F,-2,70,0,0,0,70,NA,NA,NA
T11,Tiger Woods,-2,F,-2,70,0,0,0,70,Tom,FALSE,5
T11,Cameron Smith,-2,F,-2,70,0,0,0,70,NA,NA,NA
T11,Rickie Fowler,-2,F,-2,70,0,0,0,70,Dad,FALSE,1
T11,Patton Kizzire,-2,F,-2,70,0,0,0,70,NA,NA,NA
T11,Francesco Molinari,-2,F,-2,70,0,0,0,70,Dad,FALSE,12
T11,Jason Day,-2,F,-2,70,0,0,0,70,NA,NA,NA
T21,Tony Finau,-1,F,-1,71,0,0,0,71,Tom,FALSE,17
T21,Louis Oosthuizen,-1,F,-1,71,0,0,0,71,NA,NA,NA
T21,Charley Hoffman,-1,F,-1,71,0,0,0,71,NA,NA,NA
T21,Tommy Fleetwood,-1,F,-1,71,0,0,0,71,Dad,FALSE,18
T21,Kevin Na,-1,F,-1,71,0,0,0,71,Dad,TRUE,13
T21,Thorbjorn Olesen,-1,F,-1,71,0,0,0,71,NA,NA,NA
T21,Bernhard Langer,-1,F,-1,71,0,0,0,71,NA,NA,NA
T21,Matt Kuchar,-1,F,-1,71,0,0,0,71,NA,NA,NA
T29,Andrew Landry,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Kevin Tway,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Keith Mitchell,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Mike Weir,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Si Woo Kim,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Emiliano Grillo,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Branden Grace,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Kyle Stanley,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Viktor Hovland,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Webb Simpson,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Marc Leishman,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Haotong Li,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Jimmy Walker,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Billy Horschel,E,F,E,72,0,0,0,72,NA,NA,NA
T29,Bubba Watson,E,F,E,72,0,0,0,72,NA,NA,NA
T44,Takumi Kanaya,+1,F,+1,73,0,0,0,73,NA,NA,NA
T44,Charles Howell III,+1,F,+1,73,0,0,0,73,NA,NA,NA
T44,Sergio Garcia,+1,F,+1,73,0,0,0,73,Tom,TRUE,14
T44,Patrick Reed,+1,F,+1,73,0,0,0,73,NA,NA,NA
T44,Xander Schauffele,+1,F,+1,73,0,0,0,73,NA,NA,NA
T44,Rory McIlroy,+1,F,+1,73,0,0,0,73,Tom,FALSE,2
T44,Sandy Lyle,+1,F,+1,73,0,0,0,73,NA,NA,NA
T44,Martin Kaymer,+1,F,+1,73,0,0,0,73,NA,NA,NA
T44,Alvaro Ortiz,+1,F,+1,73,0,0,0,73,NA,NA,NA
T44,Jovan Rebula,+1,F,+1,73,0,0,0,73,NA,NA,NA
T44,Tyrrell Hatton,+1,F,+1,73,0,0,0,73,NA,NA,NA
T44,Rafa Cabrera-Bello,+1,F,+1,73,0,0,0,73,NA,NA,NA
T44,Patrick Cantlay,+1,F,+1,73,0,0,0,73,NA,NA,NA
