pos,name,total,thru,today,r1,r2,r3,r4,strokes,player,inverted,pick
T44,Justin Thomas,+1,F,+1,73,0,0,0,73,Will,FALSE,10
T58,Eddie Pepperell,+2,F,+2,74,0,0,0,74,NA,NA,NA
T58,Henrik Stenson,+2,F,+2,74,0,0,0,74,Tom,FALSE,11
T58,Trevor Immelman,+2,F,+2,74,0,0,0,74,NA,NA,NA
T58,Devon Bling,+2,F,+2,74,0,0,0,74,NA,NA,NA
T58,Zach Johnson,+2,F,+2,74,0,0,0,74,NA,NA,NA
T63,Adam Long,+3,F,+3,75,0,0,0,75,NA,NA,NA
T63,Aaron Wise,+3,F,+3,75,0,0,0,75,NA,NA,NA
T63,Danny Willett,+3,F,+3,75,0,0,0,75,NA,NA,NA
T63,Brandt Snedeker,+3,F,+3,75,0,0,0,75,NA,NA,NA
T63,Hideki Matsuyama,+3,F,+3,75,0,0,0,75,NA,NA,NA
T63,Matt Wallace,+3,F,+3,75,0,0,0,75,NA,NA,NA
T63,Alex Noren,+3,F,+3,75,0,0,0,75,NA,NA,NA
T63,Satoshi Kodaira,+3,F,+3,75,0,0,0,75,NA,NA,NA
T63,Justin Rose,+3,F,+3,75,0,0,0,75,Will,FALSE,4
T63,Jordan Spieth,+3,F,+3,75,0,0,0,75,Will,FALSE,9
T73,Michael Kim,+4,F,+4,76,0,0,0,76,NA,NA,NA
T73,Stewart Cink,+4,F,+4,76,0,0,0,76,NA,NA,NA
T73,Keegan Bradley,+4,F,+4,76,0,0,0,76,NA,NA,NA
T73,Shugo Imahira,+4,F,+4,76,0,0,0,76,NA,NA,NA
T77,Kevin O'Connell,+5,F,+5,77,0,0,0,77,NA,NA,NA
T77,Charl Schwartzel,+5,F,+5,77,0,0,0,77,NA,NA,NA
T77,Larry Mize,+5,F,+5,77,0,0,0,77,NA,NA,NA
T80,Shane Lowry,+6,F,+6,78,0,0,0,78,NA,NA,NA
T80,Fred Couples,+6,F,+6,78,0,0,0,78,NA,NA,NA
T80,Jose Maria Olazabal,+6,F,+6,78,0,0,0,78,NA,NA,NA
T80,Matthew Fitzpatrick,+6,F,+6,78,0,0,0,78,NA,NA,NA
T84,Ian Woosnam,+8,F,+8,80,0,0,0,80,NA,NA,NA
T84,Vijay Singh,+8,F,+8,80,0,0,0,80,NA,NA,NA
86,Paul Casey,+9,F,+9,81,0,0,0,81,NA,NA,NA
87,Angel Cabrera,+10,F,+10,82,0,0,0,82,NA,NA,NA
