Region,Round,Player,Match,Pick,Seed,Win
South,2,Will,4,Tennessee,2,
South,3,Will,1,Oregon,12,
South,3,Will,2,Tennessee,2,
South,4,Will,1,Tennessee,2,
Midwest,1,Will,1,North Carolina,1,
Midwest,1,Will,2,Utah State,8,
Midwest,1,Will,3,Auburn,5,
Midwest,1,Will,4,Kansas,4,
Midwest,1,Will,5,Ohio St.,11,
Midwest,1,Will,6,Houston,3,
Midwest,1,Will,7,Seton Hall,10,
Midwest,1,Will,8,Kentucky,2,
Midwest,2,Will,1,North Carolina,1,
Midwest,2,Will,2,Auburn,5,
Midwest,2,Will,3,Ohio St.,11,
Midwest,2,Will,4,Kentucky,2,
Midwest,3,Will,1,Auburn,5,
Midwest,3,Will,2,Kentucky,2,
Midwest,4,Will,1,Auburn,5,
Final Four,5,Will,1,Duke,1,
Final Four,5,Will,2,Tennessee,2,
Final Four,6,Will,1,Duke,1,
