tm,w
LAD,94
NYY,91
NYM,89
MIL,88
HOU,89
TOR,92
SDP,89
LAA,83
SFG,85
ATL,93
TBR,85
CHW,86
PHI,88
MIN,82
STL,81
BOS,87
MIA,83
SEA,80
CLE,77
ARI,70
COL,69
TEX,75
CHC,75
KCR,75
DET,76
PIT,69
WSN,73
OAK,70
BAL,65
CIN,75
