abbrev,team
LAD,Dodgers
NYY,Yankees
BAL,Orioles
HOU,Astros
MIN,Twins
CIN,Reds
OAK,Athletics
DET,Tigers
CLE,Indians
KCR,Rays
CHC,Cubs
SDP,Padres
SFG,Giants
MIL,Brewers
LAA,Angels
