tm,w,l
LAD,98,64
NYY,95,67
SDP,94,68
NYM,92,70
ATL,89,73
HOU,88,74
TOR,88,74
MIN,87,75
BOS,86,76
CHW,84,78
LAA,84,78
TBR,83,79
OAK,83,79
WSN,83,79
PHI,81,81
MIL,81,81
CLE,81,81
STL,79,83
CHC,78,84
CIN,78,84
KCR,77,85
SFG,77,85
SEA,74,88
ARI,74,88
MIA,73,89
DET,71,91
TEX,70,92
BAL,67,95
COL,67,95
PIT,66,96
