Dad,Tom,Will,AFC Wildcard 1,AFC Wildcard 2,AFC Divisional 1,AFC Divisional 2,AFC Championship,NFC Wildcard 1,NFC Wildcard 2,NFC Divisional 1,NFC Divisional 2,NFC Championship,Super Bowl,p
2,6,3,Ravens,Texans,Chiefs,Texans,Texans,Seahawks,Bears,Saints,Rams,Saints,Texans,7.697267675999999e-4
2,6,3,Chargers,Texans,Chiefs,Texans,Texans,Seahawks,Bears,Saints,Rams,Saints,Texans,5.131511784e-4
2,2,7,Ravens,Colts,Chiefs,Ravens,Ravens,Seahawks,Bears,Saints,Rams,Saints,Ravens,0.0011289325924799998
2,2,7,Chargers,Colts,Chiefs,Chargers,Chargers,Seahawks,Bears,Saints,Rams,Saints,Chargers,7.5262172832e-4
3,2,6,Ravens,Texans,Ravens,Pats,Ravens,Seahawks,Bears,Saints,Rams,Saints,Ravens,0.00145963001856
3,2,6,Chargers,Texans,Chargers,Pats,Chargers,Seahawks,Bears,Saints,Rams,Saints,Chargers,9.730866790400001e-4
3,1,7,Ravens,Colts,Colts,Pats,Colts,Seahawks,Bears,Saints,Rams,Saints,Colts,7.819446527999998e-4
3,1,7,Chargers,Colts,Colts,Pats,Colts,Seahawks,Bears,Saints,Rams,Saints,Colts,5.212964351999999e-4
4,4,2,Ravens,Texans,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.0021910055731200005
4,4,2,Chargers,Texans,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.0014606703820800003
4,3,3,Ravens,Colts,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.00172150437888
4,3,3,Chargers,Colts,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.00114766958592
3,5,2,Ravens,Texans,Chiefs,Texans,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.001100393424
3,5,2,Chargers,Texans,Chiefs,Texans,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,7.33595616e-4
3,3,4,Ravens,Colts,Chiefs,Ravens,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.0010759402368
3,3,4,Chargers,Colts,Chiefs,Chargers,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,7.621243344000001e-4
6,2,2,Ravens,Texans,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,0.0015097397777280002
6,2,2,Chargers,Texans,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,0.0010064931851520003
6,1,3,Ravens,Colts,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,0.0011862241110720002
6,1,3,Chargers,Colts,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,7.908160740480001e-4
6,1,3,Ravens,Texans,Ravens,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,9.585649382400001e-4
6,1,3,Chargers,Texans,Chargers,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,6.789834979200001e-4
6,0,4,Ravens,Colts,Colts,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,6.41896164e-4
6,0,4,Chargers,Colts,Colts,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,4.27930776e-4
3,5,2,Ravens,Texans,Chiefs,Texans,Texans,Cowboys,Eagles,Saints,Rams,Saints,Texans,5.777065476e-4
3,5,2,Chargers,Texans,Chiefs,Texans,Texans,Cowboys,Eagles,Saints,Rams,Saints,Texans,3.851376984e-4
3,1,6,Ravens,Colts,Chiefs,Ravens,Ravens,Cowboys,Eagles,Saints,Rams,Saints,Ravens,8.4730293648e-4
3,1,6,Chargers,Colts,Chiefs,Chargers,Chargers,Cowboys,Eagles,Saints,Rams,Saints,Chargers,5.6486862432e-4
4,1,5,Ravens,Texans,Ravens,Pats,Ravens,Cowboys,Eagles,Saints,Rams,Saints,Ravens,0.00109550278656
4,1,5,Chargers,Texans,Chargers,Pats,Chargers,Cowboys,Eagles,Saints,Rams,Saints,Chargers,7.3033519104e-4
4,0,6,Ravens,Colts,Colts,Pats,Colts,Cowboys,Eagles,Saints,Rams,Saints,Colts,5.868764928e-4
4,0,6,Chargers,Colts,Colts,Pats,Colts,Cowboys,Eagles,Saints,Rams,Saints,Colts,3.912509952e-4
3,5,2,Ravens,Texans,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,0.0018664121548800001
3,5,2,Chargers,Texans,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,0.0012442747699200002
3,4,3,Ravens,Colts,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,0.00146646669312
3,4,3,Chargers,Colts,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,9.7764446208e-4
2,6,2,Ravens,Texans,Chiefs,Texans,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,9.37372176e-4
2,6,2,Chargers,Texans,Chiefs,Texans,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,6.24914784e-4
2,4,4,Ravens,Colts,Chiefs,Ravens,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,9.165416832e-4
2,4,4,Chargers,Colts,Chiefs,Chargers,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,6.492170256000001e-4
5,3,2,Ravens,Texans,Chiefs,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,0.0012860746254720003
5,3,2,Chargers,Texans,Chiefs,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,8.573830836480002e-4
5,2,3,Ravens,Colts,Chiefs,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,0.001010487205728
5,2,3,Chargers,Colts,Chiefs,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,6.736581371520001e-4
5,2,3,Ravens,Texans,Ravens,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,8.165553177600001e-4
5,2,3,Chargers,Texans,Chargers,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,5.783933500800001e-4
5,1,4,Ravens,Colts,Colts,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,5.46800436e-4
5,1,4,Chargers,Colts,Colts,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,3.6453362400000006e-4
2,6,2,Ravens,Texans,Chiefs,Texans,Texans,Seahawks,Eagles,Saints,Rams,Saints,Texans,4.921203923999999e-4
2,6,2,Chargers,Texans,Chiefs,Texans,Texans,Seahawks,Eagles,Saints,Rams,Saints,Texans,3.280802616e-4
2,2,6,Ravens,Colts,Chiefs,Ravens,Ravens,Seahawks,Eagles,Saints,Rams,Saints,Ravens,7.2177657552e-4
2,2,6,Chargers,Colts,Chiefs,Chargers,Chargers,Seahawks,Eagles,Saints,Rams,Saints,Chargers,4.8118438368e-4
3,2,5,Ravens,Texans,Ravens,Pats,Ravens,Seahawks,Eagles,Saints,Rams,Saints,Ravens,9.332060774400001e-4
3,2,5,Chargers,Texans,Chargers,Pats,Chargers,Seahawks,Eagles,Saints,Rams,Saints,Chargers,6.221373849600001e-4
3,1,6,Ravens,Colts,Colts,Pats,Colts,Seahawks,Eagles,Saints,Rams,Saints,Colts,4.999318271999999e-4
3,1,6,Chargers,Colts,Colts,Pats,Colts,Seahawks,Eagles,Saints,Rams,Saints,Colts,3.332878848e-4
4,4,3,Ravens,Texans,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.0025709322240000006
4,4,3,Chargers,Texans,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.0017139548160000006
4,3,4,Ravens,Colts,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.0020200181760000003
4,3,4,Chargers,Colts,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.0013466787840000004
3,5,3,Ravens,Texans,Chiefs,Texans,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.0012912048
3,5,3,Chargers,Texans,Chiefs,Texans,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,8.608032000000001e-4
3,3,5,Ravens,Colts,Chiefs,Ravens,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.00126251136
3,3,5,Chargers,Colts,Chiefs,Chargers,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,8.942788800000001e-4
6,2,3,Ravens,Texans,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,0.0017715329856000004
6,2,3,Chargers,Texans,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,0.0011810219904000005
6,1,4,Ravens,Colts,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,0.0013919187744000003
6,1,4,Chargers,Colts,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,9.279458496000002e-4
6,1,4,Ravens,Texans,Ravens,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,0.0011247828480000002
6,1,4,Chargers,Texans,Chargers,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,7.967211840000003e-4
