Winner,Dad_total,Tom_total,Will_total,Dad,Tom,Will,AFC Wildcard 1,AFC Wildcard 2,AFC Divisional 1,AFC Divisional 2,AFC Championship,NFC Wildcard 1,NFC Wildcard 2,NFC Divisional 1,NFC Divisional 2,NFC Championship,Super Bowl,p,p_adj
Will,7,2,9,5,2,4,Ravens,Colts,Chiefs,Pats,Pats,Seahawks,Bears,Saints,Rams,Saints,Pats,0.001580505629,0.0020070578299099385
Will,7,2,9,5,2,4,Chargers,Colts,Chiefs,Pats,Pats,Seahawks,Bears,Saints,Rams,Saints,Pats,0.00105367042,0.0013380385541198817
Will,7,2,9,5,2,4,Ravens,Texans,Ravens,Pats,Pats,Seahawks,Bears,Saints,Rams,Saints,Pats,0.001277176266,0.0016218649132381158
Will,7,2,9,5,2,4,Chargers,Texans,Chargers,Pats,Pats,Seahawks,Bears,Saints,Rams,Saints,Pats,9.05e-4,0.001149244458697524
Will,7,1,10,5,1,5,Ravens,Colts,Colts,Pats,Pats,Seahawks,Bears,Saints,Rams,Saints,Pats,8.55e-4,0.0010857502897087105
Will,7,1,10,5,1,5,Chargers,Colts,Colts,Pats,Pats,Seahawks,Bears,Saints,Rams,Saints,Pats,5.7e-4,7.238335264724736e-4
Will,4,6,8,2,6,3,Ravens,Texans,Chiefs,Texans,Texans,Seahawks,Bears,Saints,Rams,Saints,Texans,7.7e-4,9.778102024277275e-4
Will,4,6,8,2,6,3,Chargers,Texans,Chiefs,Texans,Texans,Seahawks,Bears,Saints,Rams,Saints,Texans,5.13e-4,6.514501738252263e-4
Will,4,2,12,2,2,7,Ravens,Colts,Chiefs,Ravens,Ravens,Seahawks,Bears,Saints,Rams,Saints,Ravens,0.001128932592,0.0014336127354685445
Will,4,2,12,2,2,7,Chargers,Colts,Chiefs,Chargers,Chargers,Seahawks,Bears,Saints,Rams,Saints,Chargers,7.53e-4,9.56222184971531e-4
Will,5,2,11,3,2,6,Ravens,Texans,Ravens,Pats,Ravens,Seahawks,Bears,Saints,Rams,Saints,Ravens,0.001459630019,0.0018535599017506206
Will,5,2,11,3,2,6,Chargers,Texans,Chargers,Pats,Chargers,Seahawks,Bears,Saints,Rams,Saints,Chargers,9.73e-4,0.0012355965285223104
Will,5,1,12,3,1,7,Ravens,Colts,Colts,Pats,Colts,Seahawks,Bears,Saints,Rams,Saints,Colts,7.82e-4,9.930488029850429e-4
Will,5,1,12,3,1,7,Chargers,Colts,Colts,Pats,Colts,Seahawks,Bears,Saints,Rams,Saints,Colts,5.21e-4,6.616092408634365e-4
Will,6,4,7,4,4,2,Ravens,Texans,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.002191005573,0.002782321562149882
Will,6,4,7,4,4,2,Chargers,Texans,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.001460670382,0.001854881041433255
Will,6,3,8,4,3,3,Ravens,Colts,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.001721504379,0.002186109799104168
Will,6,3,8,4,3,3,Chargers,Colts,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.001147669586,0.0014574065327361122
Will,5,5,7,3,5,2,Ravens,Texans,Chiefs,Texans,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.001100393424,0.0013973713203527015
Will,5,5,7,3,5,2,Chargers,Texans,Chiefs,Texans,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,7.34e-4,9.320944007557818e-4
Will,5,3,9,3,3,4,Ravens,Colts,Chiefs,Ravens,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,0.001075940237,0.0013663186245988404
Will,5,3,9,3,3,4,Chargers,Colts,Chiefs,Chargers,Chiefs,Cowboys,Eagles,Saints,Rams,Saints,Chiefs,7.62e-4,9.676511353895173e-4
Dad,8,2,7,6,2,2,Ravens,Texans,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,0.001509739778,0.001917193451869315
Dad,8,2,7,6,2,2,Chargers,Texans,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,0.001006493185,0.001278128967489582
Will,8,0,9,6,0,4,Ravens,Colts,Colts,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,6.42e-4,8.15265129816365e-4
Will,8,0,9,6,0,4,Chargers,Colts,Colts,Pats,Pats,Cowboys,Eagles,Saints,Rams,Saints,Pats,4.28e-4,5.435100865442433e-4
Will,5,5,7,3,5,2,Ravens,Texans,Chiefs,Texans,Texans,Cowboys,Eagles,Saints,Rams,Saints,Texans,5.78e-4,7.339925935106838e-4
Will,5,5,7,3,5,2,Chargers,Texans,Chiefs,Texans,Texans,Cowboys,Eagles,Saints,Rams,Saints,Texans,3.85e-4,4.889051012138638e-4
Will,5,1,11,3,1,6,Ravens,Colts,Chiefs,Ravens,Ravens,Cowboys,Eagles,Saints,Rams,Saints,Ravens,8.47e-4,0.0010755912226705004
Will,5,1,11,3,1,6,Chargers,Colts,Chiefs,Chargers,Chargers,Cowboys,Eagles,Saints,Rams,Saints,Chargers,5.65e-4,7.174841095735923e-4
Will,6,1,10,4,1,5,Ravens,Texans,Ravens,Pats,Ravens,Cowboys,Eagles,Saints,Rams,Saints,Ravens,0.001095502787,0.0013911607817098828
Will,6,1,10,4,1,5,Chargers,Texans,Chargers,Pats,Chargers,Cowboys,Eagles,Saints,Rams,Saints,Chargers,7.3e-4,9.270148672366768e-4
Will,6,0,11,4,0,6,Ravens,Colts,Colts,Pats,Colts,Cowboys,Eagles,Saints,Rams,Saints,Colts,5.87e-4,7.454215439286701e-4
Will,6,0,11,4,0,6,Chargers,Colts,Colts,Pats,Colts,Cowboys,Eagles,Saints,Rams,Saints,Colts,3.91e-4,4.965244014925214e-4
Will,5,5,7,3,5,2,Ravens,Texans,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,0.001866412155,0.002370125775446911
Will,5,5,7,3,5,2,Chargers,Texans,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,0.00124427477,0.0015800838502979405
Will,5,4,8,3,4,3,Ravens,Colts,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,0.001466466693,0.0018622416804361692
Will,5,4,8,3,4,3,Chargers,Colts,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,9.78e-4,0.0012419459454211916
Will,4,6,7,2,6,2,Ravens,Texans,Chiefs,Texans,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,9.37e-4,0.0011898807268503645
Will,4,6,7,2,6,2,Chargers,Texans,Chiefs,Texans,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,6.25e-4,7.936771123601685e-4
Will,4,4,9,2,4,4,Ravens,Colts,Chiefs,Ravens,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,9.17e-4,0.0011644830592548391
Will,4,4,9,2,4,4,Chargers,Colts,Chiefs,Chargers,Chiefs,Seahawks,Eagles,Saints,Rams,Saints,Chiefs,0.00064899999999999995,8.241543134747989e-4
Will,7,2,8,5,2,3,Ravens,Colts,Chiefs,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,0.001010487206,0.0012832009083759597
Will,7,2,8,5,2,3,Chargers,Colts,Chiefs,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,6.74e-4,8.559013979692057e-4
Will,7,2,8,5,2,3,Ravens,Texans,Ravens,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,8.17e-4,0.0010374947212772124
Will,7,2,8,5,2,3,Chargers,Texans,Chargers,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,5.78e-4,7.339925935106838e-4
Will,7,1,9,5,1,4,Ravens,Colts,Colts,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,5.47e-4,6.946262087376194e-4
Will,7,1,9,5,1,4,Chargers,Colts,Colts,Pats,Pats,Seahawks,Eagles,Saints,Rams,Saints,Pats,3.65e-4,4.635074336183384e-4
Will,4,6,7,2,6,2,Ravens,Texans,Chiefs,Texans,Texans,Seahawks,Eagles,Saints,Rams,Saints,Texans,4.92e-4,6.247826228499247e-4
Will,4,6,7,2,6,2,Chargers,Texans,Chiefs,Texans,Texans,Seahawks,Eagles,Saints,Rams,Saints,Texans,3.28e-4,4.165217485666164e-4
Will,4,2,11,2,2,6,Ravens,Colts,Chiefs,Ravens,Ravens,Seahawks,Eagles,Saints,Rams,Saints,Ravens,7.22e-4,9.168558001984666e-4
Will,4,2,11,2,2,6,Chargers,Colts,Chiefs,Chargers,Chargers,Seahawks,Eagles,Saints,Rams,Saints,Chargers,4.81e-4,6.108139056723856e-4
Will,5,2,10,3,2,5,Ravens,Texans,Ravens,Pats,Ravens,Seahawks,Eagles,Saints,Rams,Saints,Ravens,9.33e-4,0.0011848011933312595
Will,5,2,10,3,2,5,Chargers,Texans,Chargers,Pats,Chargers,Seahawks,Eagles,Saints,Rams,Saints,Chargers,6.22e-4,7.898674622208397e-4
Will,5,1,11,3,1,6,Ravens,Colts,Colts,Pats,Colts,Seahawks,Eagles,Saints,Rams,Saints,Colts,5e-4,6.349416898881348e-4
Will,5,1,11,3,1,6,Chargers,Colts,Colts,Pats,Colts,Seahawks,Eagles,Saints,Rams,Saints,Colts,3.33e-4,4.228711654654978e-4
Will,6,4,8,4,4,3,Ravens,Texans,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.002570932224,0.0032647841017888414
Will,6,4,8,4,4,3,Chargers,Texans,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.001713954816,0.0021765227345258943
Will,6,3,9,4,3,4,Ravens,Colts,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.002020018176,0.0025651875085483753
Will,6,3,9,4,3,4,Chargers,Colts,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.001346678784,0.0017101250056989169
Will,5,5,8,3,5,3,Ravens,Texans,Chiefs,Texans,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.0012912048,0.0016396795154073422
Will,5,5,8,3,5,3,Chargers,Texans,Chiefs,Texans,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,8.61e-4,0.001093369589987368
Will,5,3,10,3,3,5,Ravens,Colts,Chiefs,Ravens,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,0.00126251136,0.0016032421928427348
Will,5,3,10,3,3,5,Chargers,Colts,Chiefs,Chargers,Chiefs,Cowboys,Bears,Saints,Bears,Saints,Chiefs,8.94e-4,0.001135275741519985
Will,8,1,9,6,1,4,Ravens,Colts,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,0.001391918774,0.0017675745171011614
Will,8,1,9,6,1,4,Chargers,Colts,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,9.28e-4,0.001178451776432378
Will,8,1,9,6,1,4,Ravens,Texans,Ravens,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,0.001124782848,0.0014283430445326181
Will,8,1,9,6,1,4,Chargers,Texans,Chargers,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,7.97e-4,0.0010120970536816867
Will,8,0,10,6,0,5,Ravens,Colts,Colts,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,7.53e-4,9.56222184971531e-4
Will,8,0,10,6,0,5,Chargers,Colts,Colts,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,5.02e-4,6.374814566476873e-4
Will,5,5,8,3,5,3,Ravens,Texans,Chiefs,Texans,Texans,Cowboys,Bears,Saints,Bears,Saints,Texans,6.78e-4,8.609809314883108e-4
Will,5,5,8,3,5,3,Chargers,Texans,Chiefs,Texans,Texans,Cowboys,Bears,Saints,Bears,Saints,Texans,4.52e-4,5.739872876588738e-4
Will,5,1,12,3,1,7,Ravens,Colts,Chiefs,Ravens,Ravens,Cowboys,Bears,Saints,Bears,Saints,Ravens,9.94e-4,0.001262264079497612
Will,5,1,12,3,1,7,Chargers,Colts,Chiefs,Chargers,Chargers,Cowboys,Bears,Saints,Bears,Saints,Chargers,6.63e-4,8.419326807916666e-4
Will,6,1,11,4,1,6,Ravens,Texans,Ravens,Pats,Ravens,Cowboys,Bears,Saints,Bears,Saints,Ravens,0.001285466112,0.0016323920508944207
Will,6,1,11,4,1,6,Chargers,Texans,Chargers,Pats,Chargers,Cowboys,Bears,Saints,Bears,Saints,Chargers,8.57e-4,0.001088290056468263
Will,6,0,12,4,0,7,Ravens,Colts,Colts,Pats,Colts,Cowboys,Bears,Saints,Bears,Saints,Colts,6.89e-4,8.749496486658498e-4
Will,6,0,12,4,0,7,Chargers,Colts,Colts,Pats,Colts,Cowboys,Bears,Saints,Bears,Saints,Colts,4.59e-4,5.828764713173077e-4
Will,5,5,8,3,5,3,Ravens,Texans,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.002190053376,0.0027811123830053094
Will,5,5,8,3,5,3,Chargers,Texans,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.001460035584,0.0018540749220035395
Will,5,4,9,3,4,4,Ravens,Colts,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.001720756224,0.0021851597295041714
Will,5,4,9,3,4,4,Chargers,Colts,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.001147170816,0.0014567731530027812
Will,4,6,8,2,6,3,Ravens,Texans,Chiefs,Texans,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.0010999152,0.0013967640316432915
Will,4,6,8,2,6,3,Chargers,Texans,Chiefs,Texans,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,7.33e-4,9.308245173760057e-4
Will,4,4,10,2,4,5,Ravens,Colts,Chiefs,Ravens,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.00107547264,0.0013657248309401073
Will,4,4,10,2,4,5,Chargers,Colts,Chiefs,Chargers,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,7.62e-4,9.676511353895173e-4
Will,7,3,8,5,3,3,Ravens,Texans,Chiefs,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,0.001509083654,0.0019163602509066427
Will,7,3,8,5,3,3,Chargers,Texans,Chiefs,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,0.00100605577,0.0012775735014510174
Will,7,2,9,5,2,4,Ravens,Colts,Chiefs,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,0.001185708586,0.0015057116266194216
Will,7,2,9,5,2,4,Chargers,Colts,Chiefs,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,7.9e-4,0.001003207870023253
Will,7,2,9,5,2,4,Ravens,Texans,Ravens,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,9.58e-4,0.0012165482778256661
Will,7,2,9,5,2,4,Chargers,Texans,Chargers,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,6.79e-4,8.62250814868087e-4
Will,7,1,10,5,1,5,Ravens,Colts,Colts,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,6.42e-4,8.15265129816365e-4
Will,7,1,10,5,1,5,Chargers,Colts,Colts,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,4.28e-4,5.435100865442433e-4
Will,4,6,8,2,6,3,Ravens,Texans,Chiefs,Texans,Texans,Seahawks,Bears,Saints,Bears,Saints,Texans,5.77e-4,7.327227101309076e-4
Will,4,6,8,2,6,3,Chargers,Texans,Chiefs,Texans,Texans,Seahawks,Bears,Saints,Bears,Saints,Texans,3.85e-4,4.889051012138638e-4
Will,4,2,12,2,2,7,Ravens,Colts,Chiefs,Ravens,Ravens,Seahawks,Bears,Saints,Bears,Saints,Ravens,8.47e-4,0.0010755912226705004
Will,4,2,12,2,2,7,Chargers,Colts,Chiefs,Chargers,Chargers,Seahawks,Bears,Saints,Bears,Saints,Chargers,5.65e-4,7.174841095735923e-4
Will,5,2,11,3,2,6,Ravens,Texans,Ravens,Pats,Ravens,Seahawks,Bears,Saints,Bears,Saints,Ravens,0.001095026688,0.0013905561915026547
Will,5,2,11,3,2,6,Chargers,Texans,Chargers,Pats,Chargers,Seahawks,Bears,Saints,Bears,Saints,Chargers,7.3e-4,9.270148672366768e-4
Will,5,1,12,3,1,7,Ravens,Colts,Colts,Pats,Colts,Seahawks,Bears,Saints,Bears,Saints,Colts,5.87e-4,7.454215439286701e-4
Will,5,1,12,3,1,7,Chargers,Colts,Colts,Pats,Colts,Seahawks,Bears,Saints,Bears,Saints,Colts,3.91e-4,4.965244014925214e-4
Dad,7,4,6,5,4,1,Ravens,Texans,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,0.001237856256,0.0015719330860464792
Dad,7,4,6,5,4,1,Chargers,Texans,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,8.25e-4,0.0010476537883154224
Will,6,3,8,4,3,3,Ravens,Colts,Chiefs,Ravens,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,6.08e-4,7.720890949039719e-4
Will,6,3,8,4,3,3,Chargers,Colts,Chiefs,Chargers,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,4.31e-4,5.473197366835722e-4
Dad,9,2,6,7,2,1,Ravens,Texans,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,8.53e-4,0.001083210522949158
Dad,9,2,6,7,2,1,Chargers,Texans,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,5.69e-4,7.225636430926973e-4
Dad,9,1,7,7,1,2,Ravens,Colts,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,6.7e-4,8.508218644501007e-4
Dad,9,1,7,7,1,2,Chargers,Colts,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,4.47e-4,5.676378707599925e-4
Dad,9,1,7,7,1,2,Ravens,Texans,Ravens,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,5.42e-4,6.882767918387381e-4
Dad,9,1,7,7,1,2,Chargers,Texans,Chargers,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,3.84e-4,4.876352178340875e-4
Dad,9,0,8,7,0,3,Ravens,Colts,Colts,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,3.63e-4,4.6096766685878586e-4
Dad,9,0,8,7,0,3,Chargers,Colts,Colts,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,2.42e-4,3.0731177790585724e-4
Will,6,1,10,4,1,5,Ravens,Colts,Chiefs,Ravens,Ravens,Cowboys,Eagles,Saints,Cowboys,Saints,Ravens,4.79e-4,6.082741389128331e-4
Will,6,1,10,4,1,5,Chargers,Colts,Chiefs,Chargers,Chargers,Cowboys,Eagles,Saints,Cowboys,Saints,Chargers,3.19e-4,4.0509279814863e-4
